geoid,name,pctrent30_23,pctowned30_23,class
"25009203301",2033.01,0.3388235294,0.2783505155,
"25009203302",2033.02,0.5661157025,0.2778139232,
"25009204101",2041.01,0.413377193,0.3517679057,
"25009204102",2041.02,0.4810725552,0.4397111913,
"25009204200",2042,0.5705003249,0.2885057471,
"25009204300",2043,0.5259308511,0.2275449102,
"25009204400",2044,0.5539033457,0.3243243243,
"25009204500",2045,0.4974924774,0.1943661972,
"25009204600",2046,0.5704874835,0.29390681,
"25009204701",2047.01,0.3422281521,0.3829634932,
"25009204702",2047.02,0.6585106383,0.2217847769,
"25009205100",2051,0.8425414365,0.4353741497,
"25009205200",2052,0.5419847328,0.3997501562,
"25009205300",2053,0.7384615385,0.3671399594,
"25009205400",2054,0.8169014085,0.2725,
"25009205500",2055,0.6396011396,0.4462311558,
"25009205600",2056,0.7053140097,0.3153638814,
"25009205700",2057,0.5582959641,0.3078470825,
"25009205800",2058,0.4667896679,0.2996031746,
"25009205900",2059,0.446002805,0.5930232558,
"25009206000",2060,0.603960396,0.3693693694,
"25009206100",2061,0.5692821369,0.4789081886,
"25009206200",2062,0.4440366972,0.3847222222,
"25009206300",2063,0.4823151125,0.551425031,
"25009206400",2064,0.4801812005,0.2897959184,
"25009206500",2065,0.7887931034,0.3952205882,
"25009206600",2066,0.5013824885,0.4095045501,
"25009206700",2067,0.5879917184,0.393669634,
"25009206800",2068,0.5873119686,0.3315508021,
"25009206900",2069,0.5584245077,0.5702005731,
"25009207000",2070,0.4681528662,0.3050847458,
"25009207100",2071,0.4372881356,0.266,
"25009207200",2072,0.426121372,0.3130434783,
"25009208101",2081.01,0.5972495088,0.3679114799,
"25009208102",2081.02,0.4713804714,0.2696759259,
"25009208200",2082,0.2876712329,0.4002254791,
"25009208301",2083.01,0.6968973747,0.238961039,
"25009208302",2083.02,0.2493074792,0.4259649123,
"25009208401",2084.01,0.5226480836,0.3018660812,
"25009208402",2084.02,0.5574572127,0.3175487465,
"25009209100",2091,0.7149321267,0.251586582,
"25009209200",2092,0.277173913,0.2017887088,
"25009210100",2101,0,0.191283293,
"25009210200",2102,0.3382352941,0.2297664313,
"25009210301",2103.01,0.7929515419,0.2771084337,
"25009210302",2103.02,0.4845857418,0.2611607143,
"25009210401",2104.01,0.5747126437,0.2604895105,
"25009210402",2104.02,0.4180327869,0.3658927142,
"25009210500",2105,0.7956989247,0.2079550367,
"25009210600",2106,0.4904942966,0.2497846684,
"25009210700",2107,0.5468577729,0.4435096154,
"25009210800",2108,0.5596330275,0.5031185031,
"25009210900",2109,0.3567181926,0.2510548523,
"25009211100",2111,0.5640599002,0.2128078818,
"25009211201",2112.01,0.1710843373,0.1251862891,
"25009211202",2112.02,0.5605536332,0.3848454636,
"25009211300",2113,0.6734693878,0.1855864343,
"25009211401",2114.01,0.6032085561,0.3291316527,
"25009211402",2114.02,0.4392156863,0.1828214971,
"25009212101",2121.01,0.3534482759,0.2757475083,
"25009212102",2121.02,0.3259259259,0.2788461538,
"25009213100",2131,0.51875,0.2868761553,
"25009214100",2141,0.5488372093,0.2901477833,
"25009215101",2151.01,0.5767918089,0.3474320242,
"25009215102",2151.02,0.5928143713,0.2360655738,
"25009216100",2161,0.5396825397,0.3880994671,
"25009217101",2171.01,0.6479690522,0.193877551,
"25009217102",2171.02,0.5571847507,0.2910958904,
"25009217201",2172.01,0.4061962134,0.1603448276,
"25009217202",2172.02,0.1474358974,0.2312703583,
"25009217300",2173,0.3650406504,0.08798017348,
"25009217401",2174.01,0.6246648794,0.2624584718,
"25009217402",2174.02,0.5236768802,0.3832752613,
"25009217500",2175,0.5985010707,0.2936722553,
"25009217601",2176.01,0.5754716981,0.2422764228,
"25009217602",2176.02,0.3100775194,0.2858472998,
"25009218100",2181,0.3288084465,0.1575209813,
"25009220101",2201.01,0.6353383459,0.3247734139,
"25009220102",2201.02,0.552742616,0.2808145766,
"25009221100",2211,0.5489130435,0.383184011,
"25009221300",2213,0.3185840708,0.3954905545,
"25009221400",2214,0.4875,0.3738562092,
"25009221500",2215,0.5355086372,0.2356115108,
"25009221600",2216,0.6386554622,0.4018867925,
"25009221700",2217,0.5113464448,0.3286604361,
"25009221800",2218,0.3417721519,0.3639344262,
"25009221901",2219.01,0.4495412844,0.2495327103,
"25009221902",2219.02,0.5367847411,0.320702403,
"25009222100",2221,0.5048859935,0.313592233,
"25009223100",2231,0.623853211,0.2551319648,
"25009223200",2232,0.4586466165,0.2977867203,
"25009223300",2233,0.5275362319,0.1692307692,
"25009250100",2501,0.5041605482,0,
"25009250200",2502,0.6582568807,0.1678832117,
"25009250300",2503,0.6547770701,0.4226804124,
"25009250400",2504,0.6154529307,0.5054151625,
"25009250500",2505,0.5860323887,0.5168918919,
"25009250600",2506,0.6174311927,0.3818737271,
"25009250700",2507,0.7531978932,0.558739255,
"25009250800",2508,0.5520912548,0.4072524407,
"25009250900",2509,0.6238159675,0.6375,
"25009251000",2510,0.6340508806,0.4390243902,
"25009251100",2511,0.5297805643,0.9230769231,
"25009251200",2512,0.6174033149,0.2857142857,
"25009251300",2513,0.6479842675,0.7532467532,
"25009251400",2514,0.5926680244,0.4251497006,
"25009251500",2515,0.5338345865,0.3223570191,
"25009251600",2516,0.5220338983,0.08948194662,
"25009251700",2517,0.4340071344,0.3245436105,
"25009251800",2518,0.5672624647,0.4074250357,
"25009252101",2521.01,0.6559139785,0.2838383838,
"25009252102",2521.02,0.4347826087,0.1682825485,
"25009252201",2522.01,0.7712765957,0.206763285,
"25009252202",2522.02,0.1388888889,0.2580357143,
"25009252300",2523,0.522679693,0.3587933248,
"25009252400",2524,0.5166666667,0.4086206897,
"25009252501",2525.01,0.6217712177,0.2762730228,
